HDI rank,Country,Fossil fuel energy consumption ,Renewable energy consumption ,Carbon dioxide emissions Per Capita,Carbon dioxide emissions KG per PPP GDP,Forest Cover,Forest Cover Change,Fresh water withdrawals,Mortality Rate attributed to Household and ambient air pollution,"Mortality rate attributed to Unsafe water, sanitation and hygiene services",Red List Index
1,Norway,58.5,57.8,9.3,0.15,33.2,-0.2,0.8,8.6,0.2,0.943
2,Switzerland,50.1,25.3,4.3,0.08,31.7,9,3.7,10.1,0.1,0.982
3,Australia,93.4,9.2,15.4,0.35,16.2,-2.9,3.4,8.4,0.1,0.828
4,Ireland,85.4,9.1,7.3,0.15,10.9,62.2,1.5,11.9,0.1,0.917
5,Germany,79.8,14.2,8.9,0.2,32.7,1.1,21.4,16,0.6,0.983
6,Iceland,11.5,77,6.1,0.15,0.5,205.6,0.2,8.7,0.1,0.872
7,"Hong Kong, China (SAR)",93.2,0.9,6.4,0.12,..,..,..,..,..,0.823
7,Sweden,26.8,53.2,4.5,0.1,68.9,0.8,1.5,7.2,0.2,0.992
9,Singapore,97.5,0.7,10.3,0.13,23.1,-5.5,..,25.9,0.1,0.862
10,Netherlands,91.4,5.9,9.9,0.22,11.2,9.2,11.8,13.7,0.2,0.943
11,Denmark,65.7,33.2,5.9,0.13,14.6,13.8,10.6,13.2,0.3,0.972
12,Canada,73.6,22,15.1,0.35,38.2,-0.3,1.3,7,0.4,0.971
13,United States,82.8,8.7,16.5,0.32,33.9,2.7,13.6,13.3,0.2,0.84
14,United Kingdom,80.7,8.7,6.5,0.17,13,13.2,5.5,13.8,0.2,0.789
15,Finland,39.7,43.2,8.7,0.22,73.1,1.8,6,7.2,0.1,0.989
16,New Zealand,59.4,30.8,7.7,0.22,38.6,5.1,1.6,7.2,0.1,0.634
17,Belgium,75.8,9.2,8.3,0.2,22.6,..,32.8,15.7,0.3,0.986
17,Liechtenstein,..,63.1,1.2,..,43.1,6.2,..,..,..,0.993
19,Japan,93.7,6.3,9.5,0.26,68.5,0,18.9,11.9,0.2,0.785
20,Austria,66,34.4,6.9,0.16,46.9,2.5,4.5,15.3,0.1,0.896
21,Luxembourg,80.9,9,17.4,0.19,33.5,..,1.2,11.6,0.1,0.987
22,Israel,96.3,3.7,7.9,0.25,7.6,25,..,15.4,0.2,0.748
22,Korea (Republic of),82,2.7,11.6,0.35,63.4,-3.9,..,20.5,1.8,0.782
24,France,46.6,13.5,4.6,0.12,31,17.7,14.1,9.7,0.3,0.875
25,Slovenia,60.9,20.9,6.2,0.22,62,5.1,3.6,22.6,0.1,0.937
26,Spain,72.9,16.3,5,0.16,36.8,33.2,33,9.9,0.2,0.845
27,Czechia,76,14.8,9.2,0.31,34.5,1.5,12.6,29.6,0.2,0.971
28,Italy,79.2,16.5,5.3,0.16,31.6,22.5,28.1,15,0.1,0.917
29,Malta,97.8,5.4,5.4,0.17,1.1,0,44.4,20.2,0.1,0.883
30,Estonia,12.3,27.5,14.8,0.55,52.7,1.2,13.4,25,0.1,0.984
31,Greece,85.1,17.2,6.2,0.26,31.5,22.9,14,27.6,0.1,0.848
32,Cyprus,92.9,9.9,5.3,0.24,18.7,7.2,28.4,20.1,0.3,0.983
33,Poland,89.9,11.9,7.5,0.31,30.8,6.3,19,37.9,0.1,0.97
34,United Arab Emirates,99.8,0.1,23.3,0.36,3.9,31.7,..,54.7,0.1,0.866
35,Andorra,..,19.7,5.8,..,34,0,..,..,..,0.919
35,Lithuania,68,29,4.4,0.17,34.8,12.1,2.6,34,0.1,0.988
37,Qatar,100,0,45.4,0.38,0,0,..,47.4,0.1,0.833
38,Slovakia,64.6,13.4,5.7,0.21,40.3,1,1.1,33.5,0.1,0.962
39,Brunei Darussalam,100,0,22.1,0.29,72.1,-8,..,13.3,0.1,0.828
39,Saudi Arabia,100,0,19.5,0.39,0.5,0,943.3,83.7,0.1,0.908
41,Latvia,56.7,38.1,3.5,0.16,54,5.8,0.7,41.3,0.1,0.988
41,Portugal,76.9,27.2,4.3,0.17,34.7,-7.5,11.8,9.8,0.2,0.856
43,Bahrain,100,0,23.4,0.53,0.8,144.1,..,40.1,0.1,0.849
44,Chile,73.3,24.9,4.7,0.21,23.9,16.2,3.8,25.3,0.2,0.763
45,Hungary,69.3,15.6,4.3,0.18,22.9,14,4.9,38.8,0.2,0.929
46,Croatia,70.7,33.1,4,0.2,34.3,3.8,0.6,35.5,0.1,0.899
