HDI rank,Country,Adjusted net savings,Total debt service,Gross capital formation,Skilled labour force,Concentration index exports,Research and development expenditure,Education and health expenditure versus military expenditure,Ratio of education and health expenditure to military expenditure,Overall loss in HDI value due to inequality Change,Gender Inequality Index Change,Income quintile ratio Change
1,Norway,15.8,..,28.8,82.4,0.315,1.9,1.7,,3.0,-3.6,-0.7
2,Switzerland,16.4,..,23.3,85.7,0.288,3.0,0.7,25.6,1.5,-3.9,..
3,Australia,5.3,..,24.2,78.3,0.244,2.2,2.0,8.0,0.6,-1.8,0.4
4,Ireland,20.6,..,24.3,82.8,0.242,1.5,0.3,32.0,-0.3,-3.6,-0.6
5,Germany,13.6,..,19.8,86.5,0.106,2.9,1.2,13.5,0.1,-3.2,1.0
6,Iceland,21.8,..,22.2,73.4,0.441,2.2,0.0,..,-1.3,-4.2,-1.2
7,"Hong Kong, China (SAR)",..,..,22.3,76.9,0.268,0.8,..,..,..,..,..
7,Sweden,20.2,..,25.7,84.9,0.091,3.3,1.0,16.5,1.2,-1.4,1.1
9,Singapore,32.7,..,27.6,81.7,0.240,2.2,3.2,2.2,..,-5.0,..
10,Netherlands,16.5,..,20.2,77.4,0.072,2.0,1.2,14.0,-0.3,-3.9,0.0
11,Denmark,18.3,..,21.0,76.6,0.097,3.0,1.2,15.6,2.4,-3.2,1.1
12,Canada,5.3,..,23.7,90.8,0.138,1.6,1.3,..,-1.1,-2.5,0.5
13,United States,6.1,..,19.7,96.3,0.100,2.8,3.1,6.2,3.0,-2.4,0.5
14,United Kingdom,3.3,..,17.0,83.2,0.108,1.7,1.8,8.3,-0.5,-3.6,-0.9
15,Finland,7.8,..,22.8,88.3,0.143,2.9,1.4,11.4,-3.6,-2.9,0.0
16,New Zealand,12.0,..,24.4,82.8,0.162,1.2,1.1,14.3,..,-2.3,..
17,Belgium,9.5,..,24.6,83.3,0.095,2.5,0.9,17.4,0.5,-4.5,-0.3
17,Liechtenstein,..,..,..,..,..,..,..,..,..,..,..
19,Japan,6.0,..,23.6,99.9,0.141,3.3,0.9,14.9,..,-2.4,..
20,Austria,12.7,..,25.1,86.1,0.062,3.1,0.7,21.0,1.0,-3.3,1.3
21,Luxembourg,18.8,..,17.3,65.4,0.102,1.3,0.5,24.4,2.1,-4.8,0.3
22,Israel,15.9,..,20.5,88.6,0.255,4.3,4.7,2.2,0.3,-3.6,0.3
22,Korea (Republic of),19.0,..,31.1,84.6,0.144,4.2,2.6,4.7,-2.0,-3.4,..
24,France,7.1,..,23.5,82.6,0.098,2.2,2.3,7.5,1.6,-3.9,1.4
25,Slovenia,7.9,..,19.3,90.6,0.106,2.2,1.0,14.2,-2.6,-5.1,0.4
26,Spain,7.9,..,21.2,62.9,0.107,1.2,1.2,10.7,8.2,-2.6,2.6
27,Czechia,4.6,..,26.3,95.2,0.124,1.9,1.0,12.0,-1.7,-1.6,-0.6
28,Italy,5.1,..,17.3,67.5,0.052,1.3,1.5,8.9,0.3,-4.2,1.0
29,Malta,..,..,23.1,60.6,0.336,0.8,0.5,33.2,..,-2.4,..
30,Estonia,12.6,..,25.4,89.2,0.110,1.5,2.1,6.0,-1.4,-3.6,-0.3
31,Greece,-8.6,..,11.7,76.7,0.234,1.0,2.6,..,4.6,-2.8,1.6
32,Cyprus,2.2,..,20.4,84.2,0.234,0.5,1.8,8.4,-0.1,-3.3,1.9
33,Poland,10.5,..,20.0,94.5,0.067,1.0,1.9,5.9,-2.3,-1.6,-1.1
34,United Arab Emirates,..,..,24.8,53.5,0.227,0.9,5.6,..,..,-5.1,..
35,Andorra,..,..,..,..,0.199,..,..,..,..,..,..
35,Lithuania,17.5,..,17.5,95.7,0.112,1.0,1.7,12.1,0.3,-2.8,0.8
37,Qatar,25.8,..,45.2,44.0,0.400,0.5,1.5,..,..,..,..
38,Slovakia,5.1,..,22.4,93.7,0.195,1.2,1.2,10.2,0.2,-0.4,-0.6
39,Brunei Darussalam,34.1,..,34.8,79.1,0.629,..,2.9,1.8,..,..,..
39,Saudi Arabia,12.2,..,28.2,60.5,0.593,0.8,10.2,..,..,-5.4,..
41,Latvia,1.9,..,21.5,91.2,0.093,0.6,1.7,13.9,-0.8,-0.8,-2.2
41,Portugal,2.4,..,16.3,52.0,0.071,1.3,1.7,7.9,2.0,-4.3,-0.7
43,Bahrain,8.0,..,29.6,..,0.320,0.1,4.0,1.7,..,-2.6,..
44,Chile,5.1,..,22.1,69.2,0.306,0.4,1.9,6.8,-2.5,-1.5,-1.9
45,Hungary,9.7,95.5,22.5,87.2,0.123,1.4,1.0,13.6,-1.2,0.0,-1.6
46,Croatia,9.0,..,20.5,90.5,0.066,0.9,1.4,7.2,-5.9,-2.0,..
47,Argentina,5.9,34.9,19.1,63.4,0.195,0.6,0.9,15.0,-3.9,-0.3,-3.1
48,Oman,-6.0,..,36.4,..,0.506,0.2,12.0,0.5,..,-2.7,..
49,Russian Federation,6.7,19.2,23.9,96.1,0.305,1.1,4.2,2.5,-2.5,-2.4,-1.8
50,Montenegro,..,24.0,29.3,90.1,0.212,0.4,1.6,..,-1.4,..,0.3
51,Bulgaria,12.5,23.6,20.9,87.6,0.085,1.0,1.5,7.4,1.8,-1.1,..
52,Romania,4.8,23.3,24.4,80.0,0.112,0.5,1.9,6.1,-0.5,-1.1,-0.5
53,Belarus,14.1,19.4,26.3,98.6,0.168,0.5,1.2,8.5,-4.3,..,-0.6
54,Bahamas,10.0,..,27.0,73.0,0.510,..,..,..,..,-0.4,..
55,Uruguay,10.3,..,15.7,25.6,0.228,0.3,2.1,..,-1.6,-2.3,..
56,Kuwait,4.5,..,27.0,39.8,0.627,0.3,5.7,..,..,-2.3,..
57,Malaysia,11.7,4.9,25.5,67.3,0.174,1.3,1.1,5.9,..,-1.0,0.2
58,Barbados,-9.8,..,17.8,..,0.171,..,..,..,..,-1.5,..
58,Kazakhstan,-2.3,44.3,27.8,75.1,0.506,0.2,0.8,6.0,-5.9,-3.8,-4.8
60,Iran (Islamic Republic of),..,2.7,34.3,..,0.560,0.3,3.2,3.9,..,-0.8,-2.1
60,Palau,..,..,25.2,..,0.717,..,..,..,..,..,..
62,Seychelles,..,5.7,35.3,94.3,0.512,0.3,1.5,..,..,..,..
63,Costa Rica,15.5,14.8,18.0,40.2,0.258,0.6,0.0,..,-1.8,-1.1,0.2
64,Turkey,11.8,39.3,30.9,44.0,0.078,1.0,2.1,4.6,-4.9,-3.6,-0.8
65,Mauritius,-9.2,18.2,16.9,61.9,0.203,0.2,0.2,57.9,..,0.1,..
66,Panama,29.2,21.8,43.8,52.5,0.151,0.1,0.0,..,-3.6,-0.2,-2.0
67,Serbia,-3.8,30.0,21.0,60.3,0.087,0.9,1.8,6.9,5.9,..,-3.1
68,Albania,6.9,15.2,25.2,55.9,0.232,0.2,1.3,8.8,-3.0,-2.3,-0.8
69,Trinidad and Tobago,-4.9,..,..,71.8,0.317,0.1,0.9,..,..,-0.7,..
70,Antigua and Barbuda,..,..,..,..,0.558,..,..,..,..,..,..
70,Georgia,8.2,37.6,31.9,94.4,0.198,0.3,2.2,3.3,-3.7,-0.8,-0.8
72,Saint Kitts and Nevis,..,..,..,..,0.289,..,..,..,..,..,..
73,Cuba,..,..,9.4,69.8,0.249,0.4,3.1,..,..,-1.0,..
74,Mexico,12.5,19.4,23.2,40.0,0.123,0.6,0.5,16.7,0.2,-1.7,-2.6
75,Grenada,..,5.7,..,..,0.186,..,..,..,..,..,..
76,Sri Lanka,23.0,17.9,36.5,36.0,0.201,0.1,2.1,2.0,-2.7,-1.6,-0.4
77,Bosnia and Herzegovina,..,41.4,20.5,84.1,0.104,0.2,0.9,..,-3.4,..,-0.6
78,Venezuela (Bolivarian Republic of),7.4,59.5,24.8,55.8,0.612,..,1.2,..,-3.2,-0.4,-5.1
79,Brazil,5.6,51.2,15.5,62.0,0.126,1.2,1.4,10.8,-1.7,-1.1,-2.3
80,Azerbaijan,1.7,8.1,24.2,93.0,0.677,0.2,3.8,1.8,-3.9,0.0,0.0
80,Lebanon,-10.7,20.9,21.8,42.4,0.113,..,4.7,2.4,..,..,..
80,The former Yugoslav Republic of Macedonia,13.0,15.9,31.6,80.5,0.218,0.4,1.0,..,-3.5,..,..
83,Armenia,0.0,34.1,19.0,94.6,0.269,0.3,3.9,3.1,-1.2,-2.9,-0.7
83,Thailand,16.4,5.0,21.7,37.4,0.073,0.6,1.4,5.4,-3.7,1.1,-1.7
85,Algeria,19.3,1.0,47.8,59.2,0.489,0.1,5.9,..,..,-1.8,..
86,China,22.4,5.3,43.6,..,0.105,2.1,1.9,..,-5.3,-2.8,..
86,Ecuador,13.1,26.8,25.4,46.6,0.348,0.4,2.4,5.2,-0.3,-1.2,-3.7
88,Ukraine,2.8,29.3,20.8,98.1,0.144,0.6,3.2,4.0,-2.8,-2.0,-1.8
89,Peru,7.9,15.1,20.9,83.6,0.281,0.1,1.0,5.3,-5.3,-1.5,-3.0
