date,month,year,region,indicator,data_value,measurement,units,ocean_coastal
1998-01-15,Jan,1998,Chatham,Near surface concentration of chlorophyll a chl a,0.502256,Mean,Milligrams/cubic M (mg m⁻³),Ocean
1998-02-13,Feb,1998,Chatham,Near surface concentration of chlorophyll a chl a,0.662789,Mean,Milligrams/cubic M (mg m⁻³),Ocean
1998-03-15,Mar,1998,Chatham,Near surface concentration of chlorophyll a chl a,0.551874,Mean,Milligrams/cubic M (mg m⁻³),Ocean
1998-04-16,Apr,1998,Chatham,Near surface concentration of chlorophyll a chl a,0.494218,Mean,Milligrams/cubic M (mg m⁻³),Ocean
1998-05-16,May,1998,Chatham,Near surface concentration of chlorophyll a chl a,0.447305,Mean,Milligrams/cubic M (mg m⁻³),Ocean
1998-06-14,Jun,1998,Chatham,Near surface concentration of chlorophyll a chl a,NA,Mean,Milligrams/cubic M (mg m⁻³),Ocean
1998-07-17,Jul,1998,Chatham,Near surface concentration of chlorophyll a chl a,0.318009,Mean,Milligrams/cubic M (mg m⁻³),Ocean
1998-08-15,Aug,1998,Chatham,Near surface concentration of chlorophyll a chl a,0.361689,Mean,Milligrams/cubic M (mg m⁻³),Ocean
1998-09-17,Sep,1998,Chatham,Near surface concentration of chlorophyll a chl a,0.42708,Mean,Milligrams/cubic M (mg m⁻³),Ocean
1998-10-16,Oct,1998,Chatham,Near surface concentration of chlorophyll a chl a,0.504214,Mean,Milligrams/cubic M (mg m⁻³),Ocean
1998-11-14,Nov,1998,Chatham,Near surface concentration of chlorophyll a chl a,0.490619,Mean,Milligrams/cubic M (mg m⁻³),Ocean
1998-12-17,Dec,1998,Chatham,Near surface concentration of chlorophyll a chl a,0.453895,Mean,Milligrams/cubic M (mg m⁻³),Ocean
1999-01-15,Jan,1999,Chatham,Near surface concentration of chlorophyll a chl a,0.368582,Mean,Milligrams/cubic M (mg m⁻³),Ocean
1999-02-13,Feb,1999,Chatham,Near surface concentration of chlorophyll a chl a,0.414948,Mean,Milligrams/cubic M (mg m⁻³),Ocean
1999-03-15,Mar,1999,Chatham,Near surface concentration of chlorophyll a chl a,0.492006,Mean,Milligrams/cubic M (mg m⁻³),Ocean
1999-04-16,Apr,1999,Chatham,Near surface concentration of chlorophyll a chl a,0.46041,Mean,Milligrams/cubic M (mg m⁻³),Ocean
1999-05-16,May,1999,Chatham,Near surface concentration of chlorophyll a chl a,0.326631,Mean,Milligrams/cubic M (mg m⁻³),Ocean
1999-06-14,Jun,1999,Chatham,Near surface concentration of chlorophyll a chl a,NA,Mean,Milligrams/cubic M (mg m⁻³),Ocean
